,Proliferation,Migration,Angiogenesis,Hypoxia
0,0.2831263200983461,0.546907548354778,-0.01111505257284353,-0.18987148209602503
1,-0.03275213436824384,-0.06487230504296544,-0.17317658399500607,-0.16503046030493998
2,0.27761040297455886,0.05671085488093704,-0.23448490299918875,0.044035080776052955
3,-0.011674623213136514,-0.030677220508592524,0.7512096253690275,-0.18561724163977802
4,-0.02861754828562763,-0.03702537433674362,-0.21517908198045688,1.5479105466213303
5,0.08204930228680367,-0.07948794425977466,-0.2522161278169488,0.506207847636814
6,-0.04931885298568373,-0.03721701921081632,-0.2588021584220107,-0.30111273562887264
7,-0.14440196755287713,0.297958178789964,0.006381851790348735,0.1151485849811747
8,-0.02055104292392627,-0.04005004276396579,-0.1739245682935955,1.789691804888083
9,-0.014759493446214838,-0.01896424903400412,-0.15119756549268948,0.0006157151784864076
10,-0.012675284530892098,0.05565270964748321,0.9729348054237997,-0.12496974026429276
11,-0.012626977197942903,-0.04248623173890249,-0.0373460125270743,-0.2174902685402961
12,0.03293700951345854,0.03427124536964746,0.31053697336697683,-0.25991974531472956
13,-0.009130300959621378,-0.003471359613880206,0.5082918615603158,0.01514422980517156
14,-0.002927667046087026,-0.042570172647168565,-0.0962411940486827,-0.013621718465444585
15,-0.001613401041832917,-0.03212716064163466,-0.04243564412941698,-0.03730439897996302
16,0.2313038647035685,0.22164497572377176,-0.12919770109687265,-0.32396775681705225
17,-0.021266935771548,-0.04621371009345168,-0.09959576838743102,-0.41496069169545047
18,-0.06705967693882764,0.01476023771038816,0.20052684389581446,-0.35795329168935575
19,-0.03627038650092623,0.026422470151916174,1.1906158336633903,-0.2726699967065772
20,-0.057336653101272124,-0.07858026443343366,-0.25160767850660565,-0.39819626020325966
21,-0.033113062732342644,-0.0715566355697061,-0.25659476508087525,2.5883322302239677
22,-0.06886782938222023,0.004884683517116217,-0.1854502806590685,-0.3717110039186877
23,-0.04756577663102432,-0.013599365525147815,-0.2766839642531606,-0.19113932788445123
24,0.021332417844443133,-0.06734757550559771,-0.18643630606778688,-0.29023063582247266
25,-0.03127786031833878,-0.026319219301765173,-0.24461325710745693,-0.30675961555549547
26,-0.015625759169735354,-0.057672365562919194,-0.04923097596295555,-0.33883742609949397
27,-0.08120063415606213,-0.04953761201690543,0.919260083084202,-0.18454089420173564
28,-0.033422811370788855,-0.03625838711597697,-0.07535001924870276,-0.3531390940635555
29,-0.013090725066619409,-0.035851644003101445,-0.18900236021440034,1.4438551259698353
30,-0.00986427936882329,-0.060838869225666774,0.08665981335810032,-0.44982881789374024
31,-0.04916076319773906,0.013441993510521857,-0.0835126109886955,-0.29991550238763676
32,0.02948387408701791,-0.06228977012219174,-0.23812381317273926,-0.402179458064145
